,x,y,s,R,vx_entry,time,acceleration,vx_max,vx_exit,time_total
0,0.0,0.0,4.074237821337275,1000.0,0.0,1.0386239180656867,7.4,33.29511773786174,7.845453489892776,4.721819261024719
1,4.072126299,-0.131153459,4.781120164986678,1000.0,7.845453489892776,0.49333913791804834,7.553699999999999,33.29511773786174,11.537238040171477,4.721819261024719
2,8.846544603,0.12190758199999999,4.831662165751314,1000.0,11.537238040171477,0.37393786799157996,7.483259012975305,33.29511773786174,14.304820651033925,4.721819261024719
3,13.67157511,-0.131153459,5.067543396881126,1000.0,14.304820651033925,0.3269139167400589,7.401183051417426,33.29511773786174,16.697489971982552,4.721819261024719
4,18.73279593,0.12190758199999999,7.146221037752683,1000.0,16.697489971982552,0.39430495623150996,7.318958289717364,33.29511773786174,19.54968838484688,4.721819261024719
5,25.87453488,-0.131153459,6.3963008503674015,1000.0,19.54968838484688,0.30972730651618763,7.233483545638481,33.29511773786174,21.753100977272886,4.721819261024719
6,32.26582776,0.12190758199999999,7.484357102737574,1000.0,21.753100977272886,0.3268495014209047,7.114040467435659,33.29511773786174,24.043861050822702,4.721819261024719
7,39.74590539,-0.131153459,9.64664980265372,1000.0,24.043861050822702,0.3804785430710425,7.008608131850439,33.29511773786174,26.664122241956612,4.721819261024719
8,49.38923534,0.12190758199999999,8.491495962625345,1000.0,26.664122241956612,0.3065951954317582,6.886751536589695,33.29511773786174,28.72810887678169,4.721819261024719
9,57.87695964,-0.131153459,7.814398921890665,1000.0,28.72810887678169,0.26400780453069916,6.731960140205393,33.29511773786174,30.470132900816942,4.721819261024719
10,65.68725993,0.12190758199999999,7.814398921890665,1000.0,30.470132900816942,0.24982674934805885,6.598380783219187,33.29511773786174,32.08841170886084,4.721819261024719
11,75.0,-0.131153459,7.814398921890665,1000.0,32.08841170886084,0.2572143637591849,6.477604228798194,33.29511773786174,28.673349863730344,4.721819261024719
