,Turn,s,R,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,vx_max
465,Left,0.902,7.752999999999999,,,,,,,8.550325245062995
466,Left,0.88,7.11,,,,,,,8.191570883223017
467,Left,0.862,7.847,,,,,,,8.60146821138381
468,Left,0.86,8.359,,,,,,,8.874645713559206
469,Left,0.875,9.449,,,,,,,9.42875562315277
470,Left,0.8959999999999999,9.495,,,,,,,9.451391770438413
471,Left,0.932,9.727,,,,,,,9.564698992159219
472,Left,0.976,13.58,,,,,,,11.272789839048125
473,Left,0.987,16.43,,,,,,,12.376276074157904
474,Left,0.992,15.370999999999999,,,,,,,11.979067510783729
475,Left,1.005,13.737,,,,,,,11.336598274755723
476,Left,1.036,14.873,,,,,,,11.787258579883554
477,Left,1.072,17.586,,,,,,,12.794606233874047
478,Left,1.121,18.266,,,,,,,13.033843874092948
479,Left,1.182,18.642,,,,,,,13.164083100367895
480,Left,1.238,19.079,,,,,,,13.313693134129046
481,Left,1.274,23.575,,,,,,,14.756343922266169
482,Left,1.287,32.431999999999995,,,,,,,17.20931796711028
483,Left,1.308,28.553,,,,,,,16.187643552914896
484,Left,1.3030000000000002,24.921999999999997,,,,,,,15.158839744815133
485,Left,1.291,24.963,,,,,,,15.170901785346764
486,Left,1.284,18.061,,,,,,,12.962230204888286
487,Left,1.263,15.708,,,,,,,12.107002943294685
488,Left,1.24,21.095,,,,,,,13.981092174925827
489,Left,1.238,22.488000000000003,,,,,,,14.422288474741007
490,Left,1.254,18.174,,,,,,,13.001758579547005
491,Left,1.2790000000000001,16.565,,,,,,,12.425921860815738
492,Left,1.308,16.622,,,,,,,12.446818721626029
493,Left,1.3319999999999999,18.476,,,,,,,13.106759152823408
494,Left,1.348,19.055999999999997,,,,,,,13.305865084969962
495,Left,1.3769999999999998,23.013,,,,,,,14.584703685283076
496,Left,1.396,24.886,,,,,,,15.148239710445225
497,Left,1.413,19.293,,,,,,,13.38628623742348
498,Left,1.445,22.885,,,,,,,14.54529280574282
499,Left,1.442,48.473,,,,,,,20.82633481248876
500,Left,1.419,61.575,,,,,,,23.28226983353147
501,Left,1.3869999999999998,34.853,,,,,,,17.81250214829198
502,Left,1.3359999999999999,32.766999999999996,,,,,,,17.294261868653056
503,Left,1.276,37.918,,,,,,,18.542993286872406
504,Left,1.217,28.623,,,,,,,16.206744318754353
505,Left,1.178,16.44,,,,,,,12.37996096906394
506,Left,1.162,12.945,,,,,,,11.010664006025461
507,Left,1.136,13.337,,,,,,,11.17325811258448
508,Left,1.089,11.306,,,,,,,10.301126986975168
509,Left,1.061,10.59,,,,,,,9.974310696096381
510,Left,1.043,11.647,,,,,,,10.452974340633368
511,Left,1.038,11.802,,,,,,,10.521227022159389
512,Left,1.0490000000000002,11.782,,,,,,,10.512446684496966
513,Left,1.077,12.34,,,,,,,10.75455911839815
514,Left,1.112,14.299000000000001,,,,,,,11.561911623223118
515,Left,1.141,18.012999999999998,,,,,,,12.945399330891785
516,Left,1.162,30.02,,,,,,,16.582639519200253
517,Left,1.182,227.75900000000001,,,,,,,33.29511773786174
518,Right,1.21,59.739,,,,,,,22.95856050374171
519,Right,1.2590000000000001,28.737,,,,,,,16.2377958450204
520,Right,1.3159999999999998,21.528000000000002,,,,,,,14.119882193832893
521,Right,1.364,21.325,,,,,,,14.05500443424772
522,Right,1.399,21.603,,,,,,,14.14376790857371
523,Right,1.44,23.221999999999998,,,,,,,14.64879842604723
524,Right,1.4709999999999999,31.766,,,,,,,17.03896740069908
525,Right,1.489,38.306,,,,,,,18.63302878277738
526,Right,1.511,30.750999999999998,,,,,,,16.775450859867387
527,Right,1.5419999999999998,40.125,,,,,,,19.04830271908314
528,Right,1.565,276.406,,,,,,,33.29511773786174
529,Left,1.598,288.476,,,,,,,33.29511773786174
530,Right,1.633,391.6,,,,,,,33.29511773786174
531,Right,1.6680000000000001,113.42,,,,,,,30.63379519558667
532,Right,1.709,134.017,,,,,,,32.90858673086112
533,Right,1.739,261.158,,,,,,,33.29511773786174
534,Right,1.777,308.881,,,,,,,33.29511773786174
535,Right,1.8,297.248,,,,,,,33.29511773786174
536,Right,1.829,132.705,,,,,,,32.77146887569066
537,Right,1.8730000000000002,95.353,,,,,,,28.387163067161936
538,Right,1.902,160.97,,,,,,,33.29511773786174
539,Right,1.93,390.591,,,,,,,33.29511773786174
540,Right,1.9580000000000002,402.009,,,,,,,33.29511773786174
541,Right,1.9880000000000002,386.65,,,,,,,33.29511773786174
542,Straight,2.015,10000.0,,,,,,,33.29511773786174
543,Left,1.9980000000000002,976.556,,,,,,,33.29511773786174
544,Left,1.953,700.0269999999999,,,,,,,33.29511773786174
545,Left,1.881,259.559,,,,,,,33.29511773786174
546,Left,1.791,277.107,,,,,,,33.29511773786174
547,Left,1.694,702.42,,,,,,,33.29511773786174
548,Right,1.604,269.814,,,,,,,33.29511773786174
549,Right,1.534,95.95299999999999,,,,,,,28.466219311433324
550,Right,1.469,102.115,,,,,,,29.25950253084473
551,Right,1.399,159.52,,,,,,,33.29511773786174
552,Right,1.3230000000000002,75.558,,,,,,,25.57102368790485
553,Right,1.254,29.579,,,,,,,16.46505034482237
554,Right,1.209,18.658,,,,,,,13.169593809208019
555,Right,1.175,15.012,,,,,,,11.84113345287356
556,Right,1.15,12.931,,,,,,,11.00480952361055
557,Right,1.126,12.484000000000002,,,,,,,10.816103378892661
558,Right,1.092,12.407,,,,,,,10.783240888136449
559,Right,1.057,11.558,,,,,,,10.413569252864061
560,Right,1.033,10.956,,,,,,,10.142763106143484
561,Right,1.022,11.62,,,,,,,10.441036676936315
562,Right,1.015,11.713,,,,,,,10.482094504948423
563,Right,1.012,10.969000000000001,,,,,,,10.148692009866261
564,Right,1.016,11.74,,,,,,,10.493982555939452
565,Right,1.02,11.562000000000001,,,,,,,10.415343666014596
566,Right,1.0270000000000001,11.065999999999999,,,,,,,10.192815510061218
567,Right,1.034,11.626,,,,,,,10.443690743609249
568,Right,1.043,11.484000000000002,,,,,,,10.380684521556287
569,Right,1.07,13.33,,,,,,,11.170376856813409
570,Right,1.085,14.908,,,,,,,11.800849213666423
571,Right,1.104,15.985999999999999,,,,,,,12.211447636893627
572,Right,1.1320000000000001,17.92,,,,,,,12.912721067308008
573,Right,1.159,16.432000000000002,,,,,,,12.377013148610725
574,Right,1.2009999999999998,15.465,,,,,,,12.014901135015242
575,Right,1.245,15.92,,,,,,,12.18673930415553
576,Right,1.281,20.588,,,,,,,13.816609138362507
577,Right,1.3119999999999998,22.354,,,,,,,14.380504351115501
578,Right,1.337,17.967,,,,,,,12.929247202493283
579,Right,1.3359999999999999,17.476,,,,,,,12.755444003344197
580,Right,1.3130000000000002,18.075,,,,,,,12.96713469823221
581,Right,1.2930000000000001,17.271,,,,,,,12.682106923332373
582,Right,1.265,14.140999999999998,,,,,,,11.49904682752365
583,Right,1.239,13.743,,,,,,,11.339029170534548
584,Right,1.22,16.062,,,,,,,12.239832604696964
585,Right,1.214,15.573,,,,,,,12.055929371803135
586,Right,1.239,14.92,,,,,,,11.805504971326624
587,Right,1.263,15.708,,,,,,,12.107002943294685
588,Right,1.278,15.282,,,,,,,11.945032697369518
589,Right,1.298,14.729000000000001,,,,,,,11.731164002021803
590,Right,1.3130000000000002,15.728,,,,,,,12.114549555808678
591,Right,1.321,16.954,,,,,,,12.56778202742624
592,Right,1.331,19.277,,,,,,,13.3808737335079
593,Right,1.341,22.771,,,,,,,14.510091317479983
594,Right,1.349,25.212,,,,,,,15.243924316555082
595,Right,1.367,26.627,,,,,,,15.651559138148563
596,Right,1.391,22.016,,,,,,,14.274500120844516
597,Right,1.421,19.496,,,,,,,13.454748853570303
598,Right,1.431,19.257,,,,,,,13.374104705936873
599,Right,1.429,21.401999999999997,,,,,,,14.079652459680032
600,Right,1.4140000000000001,23.289,,,,,,,14.669278946174899
601,Right,1.374,23.274,,,,,,,14.664696548812966
602,Right,1.3219999999999998,42.771,,,,,,,19.633436536989258
603,Left,1.249,76.311,,,,,,,25.68639658988698
604,Left,1.217,25.897,,,,,,,15.442789657085797
605,Left,1.1909999999999998,21.473000000000003,,,,,,,14.102337328198018
606,Left,1.1640000000000001,15.651,,,,,,,12.085467073219444
607,Left,1.145,12.329,,,,,,,10.749842374293072
608,Left,1.121,12.289000000000001,,,,,,,10.732671952070698
609,Left,1.097,12.193,,,,,,,10.691343030073826
610,Left,1.088,11.75,,,,,,,10.498381907580905
611,Left,1.077,11.125,,,,,,,10.219554854725777
612,Left,1.069,10.554,,,,,,,9.957578811654862
613,Left,1.056,10.172,,,,,,,9.778171687532081
614,Left,1.041,10.609000000000002,,,,,,,9.98312946849526
615,Left,1.0290000000000001,11.344000000000001,,,,,,,10.318165814496057
616,Left,1.011,10.875,,,,,,,10.105738529206187
617,Left,1.0090000000000001,10.84,,,,,,,10.08969576707989
618,Left,1.0170000000000001,10.685,,,,,,,10.018322534587371
619,Left,1.0070000000000001,10.199,,,,,,,9.790966241106412
620,Left,0.991,10.38,,,,,,,9.876285866969678
621,Left,0.986,11.989,,,,,,,10.602949210390854
622,Left,0.993,12.069,,,,,,,10.637706650750854
623,Left,1.0170000000000001,10.464,,,,,,,9.915618600868761
624,Left,1.054,13.487,,,,,,,11.234809096085451
625,Left,1.0659999999999998,19.386,,,,,,,13.417698736225244
626,Left,1.063,27.631,,,,,,,15.933595590826059
627,Right,1.072,99.18299999999999,,,,,,,28.886196695864207
628,Right,1.114,23.954,,,,,,,14.870836694666432
