,x,y,s,R
2288,-207.04850247502918,108.41910496070204,0.12987848280471867,32.0
2289,-207.03854109713336,108.54860087278452,0.12965441460130123,32.0
2290,-207.02808752132054,108.67783318290212,0.12943460104128915,31.0
2291,-207.0171356939743,108.80680361914429,0.12921912335679306,31.0
2292,-207.0056795614782,108.93551390960053,0.1290080638123986,30.0
2293,-206.99371307021568,109.06396578236028,0.12880150568606327,30.0
2294,-206.98123016657038,109.19216096551308,0.12859953324823986,29.0
2295,-206.96822479692574,109.32010118714831,0.12840223174047163,29.0
2296,-206.9546909076654,109.4477881753555,0.128209687351852,29.0
2297,-206.9406224451727,109.57522365822409,0.12802198719487648,28.0
2298,-206.9260133558313,109.70240936384363,0.12783921927931105,28.0
2299,-206.91085758602483,109.82934702030347,0.1276614724858037,27.0
2300,-206.89514908213653,109.95603835569321,0.1274888365364669,27.0
2301,-206.87888179055017,110.08248509810228,0.12732140196575045,27.0
2302,-206.86204965764915,110.20868897562008,0.12715926008924305,26.0
2303,-206.84464662981708,110.33465171633621,0.12700250297045915,26.0
2304,-206.82666665343743,110.46037504834005,0.12685122338764596,26.0
2305,-206.8081036748938,110.58586069972112,0.12670551479788367,25.0
2306,-206.78895164056962,110.71111039856883,0.12656547130076926,25.0
2307,-206.76920449684846,110.83612587297277,0.12643118759971586,25.0
2308,-206.74885619011374,110.96090885102228,0.1263027589631941,24.0
2309,-206.7279006667493,111.08546106080692,0.12618028118338265,24.0
2310,-206.7063318731384,111.20978423041616,0.12606385053402142,24.0
2311,-206.6841437556646,111.33388008793942,0.1259535637271885,23.0
2312,-206.66133026071145,111.45775036146621,0.12584951786815435,23.0
2313,-206.63788533466249,111.58139677908599,0.12575181040945635,23.0
2314,-206.6138029239013,111.70482106888822,0.12566053910366756,23.0
2315,-206.58907697481132,111.82802495896246,0.12557580195439894,22.0
2316,-206.5637014337761,111.95101017739809,0.12549769716718184,22.0
2317,-206.53767024717914,112.07377845228464,0.12542632309805635,22.0
2318,-206.5109773614041,112.19633151171156,0.1253617782020114,22.0
2319,-206.48361672283437,112.31867108376831,0.1253041609798036,22.0
2320,-206.45558227785344,112.44079889654436,0.12525356992391332,21.0
2321,-206.42686797284497,112.56271667812919,0.12521010346392458,21.0
2322,-206.39746775419252,112.68442615661232,0.12517385991046096,21.0
