,x,y,s,R,vx_entry,time,acceleration,vel_fi,vel_ri,vx_max,vx_exit
74,7.5,0.0,0.1,10000.0,13.407373417987902,0.0,12.553375786156861,33.29511773786174,33.29511773786174,33.29511773786174,13.500744000783705
75,7.6,0.0,0.1,10000.0,13.500744000783705,0.0,12.562133026643009,33.29511773786174,33.29511773786174,33.29511773786174,13.593537723848456
76,7.7,0.0,0.1,10000.0,13.593537723848456,0.0,12.570896374969466,33.29511773786174,33.29511773786174,33.29511773786174,13.685766365708975
77,7.8,0.0,0.1,10000.0,13.685766365708975,0.0,12.579665835399858,33.29511773786174,33.29511773786174,33.29511773786174,13.777441319026229
78,7.9,0.0,0.1,10000.0,13.777441319026229,0.0,12.588441412200796,33.29511773786174,33.29511773786174,33.29511773786174,13.868573608022547
79,8.0,0.0,0.1,10000.0,13.868573608022547,0.0,12.597223109641826,33.29511773786174,33.29511773786174,33.29511773786174,13.959173904910656
80,8.1,0.0,0.1,10000.0,13.959173904910656,0.0,12.606010931995481,33.29511773786174,33.29511773786174,33.29511773786174,14.04925254539351
81,8.2,0.0,0.1,10000.0,14.04925254539351,0.0,12.614804883537253,33.29511773786174,33.29511773786174,33.29511773786174,14.138819543298343
82,8.3,0.0,0.1,10000.0,14.138819543298343,0.0,12.623604968545603,33.29511773786174,33.29511773786174,33.29511773786174,14.22788460440327
83,8.4,0.0,0.1,10000.0,14.22788460440327,0.0,12.632411191301966,33.29511773786174,33.29511773786174,33.29511773786174,14.316457139510241
84,8.5,0.0,0.1,10000.0,14.316457139510241,0.0,12.641223556090752,33.29511773786174,33.29511773786174,33.29511773786174,14.404546276813916
85,8.6,0.0,0.1,10000.0,14.404546276813916,0.0,12.650042067199346,33.29511773786174,33.29511773786174,33.29511773786174,14.492160873612233
86,8.7,0.0,0.1,10000.0,14.492160873612233,0.0,12.65886672891811,33.29511773786174,33.29511773786174,33.29511773786174,14.579309527400993
87,8.8,0.0,0.1,10000.0,14.579309527400993,0.0,12.66769754554039,33.29511773786174,33.29511773786174,33.29511773786174,14.666000586391569
88,8.9,0.0,0.1,10000.0,14.666000586391569,0.0,12.676534521362509,33.29511773786174,33.29511773786174,33.29511773786174,14.752242159487981
89,9.0,0.0,0.1,10000.0,14.752242159487981,0.0,12.68537766068378,33.29511773786174,33.29511773786174,33.29511773786174,14.838042125756886
90,9.1,0.0,0.1,10000.0,14.838042125756886,0.0,12.6942269678065,33.29511773786174,33.29511773786174,33.29511773786174,14.923408143421634
91,9.2,0.0,0.1,10000.0,14.923408143421634,0.0,12.703082447035962,33.29511773786174,33.29511773786174,33.29511773786174,15.008347658409276
92,9.3,0.0,0.1,10000.0,15.008347658409276,0.0,12.711944102680434,33.29511773786174,33.29511773786174,33.29511773786174,15.092867912477384
93,9.4,0.0,0.1,10000.0,15.092867912477384,0.0,12.720811939051192,33.29511773786174,33.29511773786174,33.29511773786174,15.176975950945629
94,9.5,0.0,0.1,10000.0,15.176975950945629,0.0,12.729685960462506,33.29511773786174,33.29511773786174,33.29511773786174,15.260678630055358
95,9.6,0.0,0.1,10000.0,15.260678630055358,0.0,12.73856617123164,33.29511773786174,33.29511773786174,33.29511773786174,15.343982623978823
96,9.7,0.0,0.1,10000.0,15.343982623978823,0.0,12.747452575678855,33.29511773786174,33.29511773786174,33.29511773786174,15.426894431498178
97,9.8,0.0,0.1,10000.0,15.426894431498178,0.0,12.756345178127416,33.29511773786174,33.29511773786174,33.29511773786174,15.509420382373102
98,9.9,0.0,0.1,10000.0,15.509420382373102,0.0,12.7652439829036,33.29511773786174,33.29511773786174,33.29511773786174,15.59156664341456
99,10.0,0.0,0.1,10000.0,15.59156664341456,0.0,12.774148994336677,33.29511773786174,33.29511773786174,33.29511773786174,15.673339224281127
100,10.1,0.0,0.1,10000.0,15.673339224281127,0.0,12.783060216758937,33.29511773786174,33.29511773786174,33.29511773786174,15.754743983013194
101,10.2,0.0,0.1,10000.0,15.754743983013194,0.0,12.79197765450568,33.29511773786174,33.29511773786174,33.29511773786174,15.835786631319376
102,10.3,0.0,0.1,10000.0,15.835786631319376,0.0,12.8009013119152,33.29511773786174,33.29511773786174,33.29511773786174,15.916472739628565
103,10.4,0.0,0.1,10000.0,15.916472739628565,0.0,12.809831193328835,33.29511773786174,33.29511773786174,33.29511773786174,15.99680774192018
104,10.5,0.0,0.1,10000.0,15.99680774192018,0.0,12.818767303090917,33.29511773786174,33.29511773786174,33.29511773786174,16.076796940344405
105,10.6,0.0,0.1,10000.0,16.076796940344405,0.0,12.827709645548815,33.29511773786174,33.29511773786174,33.29511773786174,16.156445509643444
106,10.7,0.0,0.1,10000.0,16.156445509643444,0.0,12.836658225052902,33.29511773786174,33.29511773786174,33.29511773786174,16.235758501384193
107,10.8,0.0,0.1,10000.0,16.235758501384193,0.0,12.845613045956584,33.29511773786174,33.29511773786174,33.29511773786174,16.314740848012033
108,10.9,0.0,0.1,10000.0,16.314740848012033,0.0,12.854574112616291,33.29511773786174,33.29511773786174,33.29511773786174,16.3933973667349
109,11.0,0.0,0.1,10000.0,16.3933973667349,0.0,12.863541429391487,33.29511773786174,33.29511773786174,33.29511773786174,16.47173276324624
110,11.1,0.0,0.1,10000.0,16.47173276324624,0.0,12.872515000644656,33.29511773786174,33.29511773786174,33.29511773786174,16.54975163529495
111,11.2,0.0,0.1,10000.0,16.54975163529495,0.0,12.88149483074132,33.29511773786174,33.29511773786174,33.29511773786174,16.62745847610987
112,11.3,0.0,0.1,10000.0,16.62745847610987,0.0,12.890480924050028,33.29511773786174,33.29511773786174,33.29511773786174,16.704857677686043
113,11.4,0.0,0.1,10000.0,16.704857677686043,0.0,12.89947328494238,33.29511773786174,33.29511773786174,33.29511773786174,16.781953533939515
114,11.5,0.0,0.1,10000.0,16.781953533939515,0.0,12.908471917793005,33.29511773786174,33.29511773786174,33.29511773786174,16.858750243736957
115,11.6,0.0,0.1,10000.0,16.858750243736957,0.0,12.917476826979573,33.29511773786174,33.29511773786174,33.29511773786174,16.935251913806226
116,11.7,0.0,0.1,10000.0,16.935251913806226,0.0,12.926488016882796,33.29511773786174,33.29511773786174,33.29511773786174,17.011462561533463
117,11.8,0.0,0.1,10000.0,17.011462561533463,0.0,12.935505491886442,33.29511773786174,33.29511773786174,33.29511773786174,17.087386117652112
