,x,y,s,R,vx_entry,time,acceleration,vel_fi,vel_ri,vx_max,vx_exit
381,38.2,0.0,0.1,10000.0,30.491174506278778,0.0,10.840226737948749,33.29511773786174,33.29511773786174,33.29511773786174,30.526675217961856
382,38.3,0.0,0.1,10000.0,30.526675217961856,0.0,10.830885452908012,33.29511773786174,33.29511773786174,33.29511773786174,30.56210415377878
383,38.4,0.0,0.1,10000.0,30.56210415377878,0.0,10.821552217478075,33.29511773786174,33.29511773786174,33.29511773786174,30.59746158934376
384,38.5,0.0,0.1,10000.0,30.59746158934376,0.0,10.812227024722393,33.29511773786174,33.29511773786174,33.29511773786174,30.632747798473922
385,38.6,0.0,0.1,10000.0,30.632747798473922,0.0,10.802909867710397,33.29511773786174,33.29511773786174,33.29511773786174,30.66796305320607
386,38.7,0.0,0.1,10000.0,30.66796305320607,0.0,10.7936007395175,33.29511773786174,33.29511773786174,33.29511773786174,30.70310762381322
387,38.8,0.0,0.1,10000.0,30.70310762381322,0.0,10.784299633225066,33.29511773786174,33.29511773786174,33.29511773786174,30.738181778820973
388,38.9,0.0,0.1,10000.0,30.738181778820973,0.0,10.775006541920435,33.29511773786174,33.29511773786174,33.29511773786174,30.773185785023642
389,39.0,0.0,0.1,10000.0,30.773185785023642,0.0,10.765721458696897,33.29511773786174,33.29511773786174,33.29511773786174,30.808119907500227
390,39.1,0.0,0.1,10000.0,30.808119907500227,0.0,10.756444376653697,33.29511773786174,33.29511773786174,33.29511773786174,30.84298440963019
391,39.2,0.0,0.1,10000.0,30.84298440963019,0.0,10.74717528889602,33.29511773786174,33.29511773786174,33.29511773786174,30.87777955310903
392,39.3,0.0,0.1,10000.0,30.87777955310903,0.0,10.737914188535003,33.29511773786174,33.29511773786174,33.29511773786174,30.912505597963676
393,39.4,0.0,0.1,10000.0,30.912505597963676,0.0,10.72866106868771,33.29511773786174,33.29511773786174,33.29511773786174,30.947162802567718
394,39.5,0.0,0.1,10000.0,30.947162802567718,0.0,10.719415922477141,33.29511773786174,33.29511773786174,33.29511773786174,30.981751423656434
395,39.6,0.0,0.1,10000.0,30.981751423656434,0.0,10.71017874303222,33.29511773786174,33.29511773786174,33.29511773786174,31.01627171634165
396,39.7,0.0,0.1,10000.0,31.01627171634165,0.0,10.700949523487793,33.29511773786174,33.29511773786174,33.29511773786174,31.050723934126427
397,39.8,0.0,0.1,10000.0,31.050723934126427,0.0,10.691728256984621,33.29511773786174,33.29511773786174,33.29511773786174,31.08510832891958
398,39.9,0.0,0.1,10000.0,31.08510832891958,0.0,10.68251493666938,33.29511773786174,33.29511773786174,33.29511773786174,31.119425151050017
399,40.0,0.0,0.1,10000.0,31.119425151050017,0.0,10.673309555694644,33.29511773786174,33.29511773786174,33.29511773786174,31.153674649280912
400,40.1,0.0,0.1,10000.0,31.153674649280912,0.0,10.664112107218891,33.29511773786174,33.29511773786174,33.29511773786174,31.18785707082373
401,40.2,0.0,0.1,10000.0,31.18785707082373,0.0,10.6549225844065,33.29511773786174,33.29511773786174,33.29511773786174,31.221972661352055
402,40.3,0.0,0.1,10000.0,31.221972661352055,0.0,10.645740980427728,33.29511773786174,33.29511773786174,33.29511773786174,31.256021665015318
403,40.4,0.0,0.1,10000.0,31.256021665015318,0.0,10.636567288458732,33.29511773786174,33.29511773786174,33.29511773786174,31.290004324452294
404,40.5,0.0,0.1,10000.0,31.290004324452294,0.0,10.62740150168154,33.29511773786174,33.29511773786174,33.29511773786174,31.323920880804497
405,40.6,0.0,0.1,10000.0,31.323920880804497,0.0,10.618243613284056,33.29511773786174,33.29511773786174,33.29511773786174,31.357771573729405
406,40.7,0.0,0.1,10000.0,31.357771573729405,0.0,10.609093616460058,33.29511773786174,33.29511773786174,33.29511773786174,31.391556641413526
407,40.8,0.0,0.1,10000.0,31.391556641413526,0.0,10.599951504409184,33.29511773786174,33.29511773786174,33.29511773786174,31.42527632058533
408,40.9,0.0,0.1,10000.0,31.42527632058533,0.0,10.590817270336936,33.29511773786174,33.29511773786174,33.29511773786174,31.458930846528016
409,41.0,0.0,0.1,10000.0,31.458930846528016,0.0,10.58169090745467,33.29511773786174,33.29511773786174,33.29511773786174,31.492520453092155
410,41.1,0.0,0.1,10000.0,31.492520453092155,0.0,10.57257240897959,33.29511773786174,33.29511773786174,33.29511773786174,31.526045372708175
411,41.2,0.0,0.1,10000.0,31.526045372708175,0.0,10.56346176813475,33.29511773786174,33.29511773786174,33.29511773786174,31.55950583639871
412,41.3,0.0,0.1,10000.0,31.55950583639871,0.0,10.55435897814904,33.29511773786174,33.29511773786174,33.29511773786174,31.59290207379081
413,41.4,0.0,0.1,10000.0,31.59290207379081,0.0,10.54526403225718,33.29511773786174,33.29511773786174,33.29511773786174,31.626234313128013
414,41.5,0.0,0.1,10000.0,31.626234313128013,0.0,10.536176923699726,33.29511773786174,33.29511773786174,33.29511773786174,31.659502781282278
415,41.6,0.0,0.1,10000.0,31.659502781282278,0.0,10.527097645723062,33.29511773786174,33.29511773786174,33.29511773786174,31.6927077037658
416,41.7,0.0,0.1,10000.0,31.6927077037658,0.0,10.518026191579384,33.29511773786174,33.29511773786174,33.29511773786174,31.725849304742678
417,41.8,0.0,0.1,10000.0,31.725849304742678,0.0,10.508962554526713,33.29511773786174,33.29511773786174,33.29511773786174,31.75892780704045
418,41.9,0.0,0.1,10000.0,31.75892780704045,0.0,10.499906727828863,33.29511773786174,33.29511773786174,33.29511773786174,31.791943432161524
419,42.0,0.0,0.1,10000.0,31.791943432161524,0.0,10.490858704755468,33.29511773786174,33.29511773786174,33.29511773786174,31.82489640029445
420,42.1,0.0,0.1,10000.0,31.82489640029445,0.0,10.481818478581957,33.29511773786174,33.29511773786174,33.29511773786174,31.857786930325094
421,42.2,0.0,0.1,10000.0,31.857786930325094,0.0,10.47278604258955,33.29511773786174,33.29511773786174,33.29511773786174,31.890615239847687
422,42.3,0.0,0.1,10000.0,31.890615239847687,0.0,10.463761390065265,33.29511773786174,33.29511773786174,33.29511773786174,31.923381545175726
423,42.4,0.0,0.1,10000.0,31.923381545175726,0.0,10.454744514301895,33.29511773786174,33.29511773786174,33.29511773786174,31.956086061352785
424,42.5,0.0,0.1,10000.0,31.956086061352785,0.0,10.445735408598019,33.29511773786174,33.29511773786174,33.29511773786174,31.988729002163204
