,x,y,s,R
0,0.7878180684470873,0.11649161524343205,0.11908151604398312,5.0
1,0.6688972526632342,0.12267603410346027,0.11886368537399362,5.0
2,0.5503474169699676,0.13130807660725022,0.11869915781405052,5.0
3,0.4321627172009693,0.14234740658132988,0.11858564479094594,5.0
4,0.3143373091899211,0.15575368785222718,0.11852082312291304,6.0
5,0.19686534877050504,0.17148658424647026,0.1185023446239097,6.0
6,0.07974099177640312,0.18950575959058705,0.11852784544653673,6.0
7,-0.037041605958702636,0.20977087771110564,0.11859495506986538,6.0
8,-0.15348828860113087,0.232241602434554,0.11870130485211271,6.0
9,-0.2696049003171992,0.25687759758746026,0.11884453608236378,6.0
10,-0.3853972852732254,0.2836385269963522,0.11902230747984406,6.0
11,-0.5008712876355281,0.3124840544877581,0.11923230210321689,7.0
12,-0.6160327515704259,0.3433738438882059,0.11947223364561863,7.0
13,-0.7308875212442353,0.3762675590242237,0.11973985210337668,7.0
14,-0.8454414408232757,0.4111248637223393,0.12003294881733534,7.0
15,-0.9597003544738651,0.447905421809081,0.12034936089542166,7.0
16,-1.0736701063623209,0.4865688971109766,0.12068697503328138,8.0
17,-1.187356540654961,0.5270749534545541,0.12104373075663817,8.0
18,-1.3007655015181052,0.5693832546663419,0.12141762311446243,8.0
19,-1.41390283311807,0.6134534645728675,0.12180670485616336,9.0
20,-1.5267743796211737,0.6592452470006592,0.12220908812890018,9.0
21,-1.6393859851937351,0.7067182657762452,0.12262294573297998,9.0
22,-1.7517434940020709,0.755832184726153,0.1230465119742067,10.0
23,-1.8638527502125009,0.8065466676769113,0.12347808315208139,10.0
24,-1.9757195979913424,0.8588213784550477,0.123916017722252,10.0
25,-2.0873498815049123,0.91261598088709,0.12435873617040853,11.0
26,-2.1987494449195317,0.9678901387995671,0.12480472063327942,11.0
27,-2.3099241324015147,1.0246035160190057,0.12525251430059348,12.0
28,-2.4208797881171824,1.0827157763719346,0.12570072062961313,12.0
29,-2.5316222562328528,1.1421865836848826,0.12614800240179588,13.0
30,-2.642157380914842,1.2029756017843765,0.12659308064870273,13.0
31,-2.7524910063294703,1.2650424944969445,0.1270347334719747,14.0
32,-2.8626289766430535,1.3283469256491152,0.1274717947799735,14.0
33,-2.9725771360219118,1.392848559067416,0.12790315296135066,15.0
34,-3.0823413286323618,1.4585070585783757,0.12832774951379106,16.0
35,-3.1919273986407233,1.5252820880085212,0.12874457764407132,17.0
36,-3.301341190213312,1.5931333111843815,0.12915268085376597,18.0
37,-3.4105885475164484,1.662020391932484,0.129551151523115,18.0
38,-3.5196753147164483,1.7319029940793569,0.1299391295040397,19.0
39,-3.6286073359796314,1.8027407814515288,0.13031580073173615,21.0
40,-3.7373904554723136,1.8744934178755264,0.13068039586305236,22.0
41,-3.8460305173608167,1.9471205671778795,0.13103218894853225,23.0
42,-3.9545333658114568,2.0205818931851147,0.13137049614410204,25.0
43,-4.062904844990554,2.094837059723761,0.13169467446724448,26.0
44,-4.171150799064419,2.1698457306203456,0.1320041206018675,28.0
45,-4.2792770721993785,2.245567569701396,0.13229826975511316,30.0
46,-4.3872895085617465,2.3219622407934435,0.13257659456898102,32.0
47,-4.495193952317843,2.3989894077230107,0.13283860408885473,35.0
48,-4.602996247633984,2.4766087343166308,0.13308384279067972,38.0
49,-4.710702238676489,2.5547798844008285,0.1333118896681276,41.0
50,-4.818317769611674,2.633462521802133,0.13352235738071758,45.0
51,-4.925848684605861,2.7126163103470726,0.13371489146359514,50.0
52,-5.033300827825365,2.792200913862176,0.1338891695994932,55.0
53,-5.140680043436506,2.872175996173969,0.13404490095314014,63.0
54,-5.2479921756055985,2.952501221108981,0.1341818255683154,72.0
55,-5.355243068498966,3.033136252493741,0.13429971382758085,84.0
56,-5.4624385662829225,3.114040754154773,0.1343983659747573,102.0
57,-5.569584513123788,3.195174389918612,0.1344776116999613,128.0
58,-5.6766867531878775,3.2764968236117795,0.13453730978728634,171.0
59,-5.7837511306415115,3.357967719060805,0.13457734782489342,259.0
60,-5.89078348965101,3.4395467400922204,0.13459764197752047,530.0
61,-5.997789674382688,3.521193550532548,0.13459813682138633,12491.0
62,-6.104775529002863,3.6028678142083197,0.13457880524137686,488.0
63,-6.211746897677858,3.6845291949460632,0.1345396483906155,248.0
64,-6.3187096245739856,3.7661373565723055,0.13448069571251065,166.0
65,-6.425669553857567,3.847651962913575,0.1344020050253035,125.0
66,-6.53263252969492,3.929032677796399,0.13430366266939792,100.0
67,-6.639604396252363,4.010239165047309,0.13418578371760895,83.0
68,-6.7465909976962095,4.091231088492825,0.1340485122486724,71.0
69,-6.853598178192785,4.171968111959484,0.13389202168417075,62.0
70,-6.9606317819084005,4.252409899273808,0.13371651518940553,55.0
71,-7.06769765300938,4.3325161142623285,0.13352222613830894,49.0
72,-7.174801635662037,4.412246420751574,0.13330941864291718,44.0
73,-7.2819495740326925,4.491560482568069,0.13307838814758097,40.0
74,-7.389147312287664,4.5704179635383415,0.1328294620882193,37.0
75,-7.496400694593269,4.648778527488925,0.13256300061675996,34.0
76,-7.603715565115827,4.726601838246342,0.13227939739086433,32.0
77,-7.711097768021654,4.803847559637123,0.13197908042882792,29.0
78,-7.8185531474770675,4.8804753554877935,0.13166251302938173,27.0
79,-7.926087547648388,4.956444889624883,0.13133019475590293,26.0
80,-8.033706812701935,5.031715825874925,0.130982662484201,24.0
81,-8.141416786804022,5.106247828064439,0.13062049151278782,23.0
82,-8.24922331412097,5.180000560019957,0.13024429673391794,21.0
83,-8.357132238819094,5.2529336855680056,0.1298547338634403,20.0
